batter,player_name,birth_date,bats,throws
667670,Brent Rooker,1994-11-01,R,R
667690,C.J. Stubbs,1996-11-12,R,R
668227,Randy Arozarena,1995-02-28,R,R
668472,Nick Pratto,1998-10-06,L,L
668670,Jake Rogers,1995-04-18,R,R
668709,JJ Bleday,1997-11-10,L,L
668715,Spencer Steer,1997-12-07,R,R
668723,Ryan Vilade,1999-02-18,R,R
668731,Akil Baddoo,1998-08-16,L,L
668752,Duke Ellis,1998-01-16,L,L
668800,Andrew Knizner,1995-02-03,R,R
668804,Bryan Reynolds,1995-01-27,S,R
668832,Kyle McCann,1997-12-02,L,R
668843,Conner Capel,1997-05-19,L,L
