player_id,player_name,n_exposures,posterior_mean,posterior_median,posterior_sd,cri90_low,cri50_low,cri50_high,cri90_high,prob_above_league_mean,prob_above_league_median,prob_positive,prob_top_quartile,prob_top_decile,prob_bottom_decile,rank_median,rank_cri50_low,rank_cri50_high,rank_cri90_low,rank_cri90_high,rank_population_size
668904,Royce Lewis,281,0.027697473170688613,0.027835423725221825,0.043694764075800994,-0.04305050540039695,-0.0015247763745050247,0.05655036610492054,0.09924842679847595,0.5426,0.547,0.7386,0.2768,0.1016,0.0714,237.0,119.0,366.0,26.950000000000017,482.0,520
683734,Andrew Vaughn,301,0.02765906503094161,0.027660765983013653,0.04060559779638567,-0.040586669531820135,0.0011458264211018417,0.05449891245828809,0.09389635778315077,0.549,0.5482,0.7584,0.2606,0.0872,0.0588,237.0,126.0,357.0,32.95000000000002,475.0500000000002,520
670231,John Rave,102,0.027648998202698016,0.0272230246131471,0.0460741041312308,-0.04729365708443854,-0.0021759865338256113,0.05750824529916995,0.1031006844476706,0.5412,0.5396,0.7384,0.2806,0.1164,0.0816,238.5,114.0,372.0,24.0,487.0,520
656248,Sean Bouchard,46,0.027631027335929894,0.027007760764367623,0.04679813237454303,-0.049163862840255756,-0.002837213566238345,0.05766851883306586,0.10422300767139626,0.5336,0.5364,0.7318,0.2826,0.1132,0.0828,241.5,115.0,373.25,23.0,487.0,520
805373,Nacho Alvarez Jr.,109,0.027617278510111327,0.026665962471699667,0.043531785477190256,-0.04292354077551149,1.1390059366396911e-05,0.055404182389740333,0.10032771010987816,0.5392,0.5408,0.75,0.2682,0.105,0.0694,241.0,122.0,362.0,26.950000000000017,482.0,520
521692,Salvador Perez,477,0.027559495514442357,0.027383627662887988,0.04069063625257501,-0.03882594415849043,0.001378002129761663,0.05385019965051456,0.09499190897854011,0.5426,0.5418,0.7608,0.2562,0.0874,0.0582,239.0,128.0,358.0,32.0,475.0,520
641658,Garrett Hampson,53,0.027372927727603052,0.027532858444152764,0.045581652961981085,-0.048028801586133284,-0.0027049633879003367,0.05680169388329383,0.10164191390771979,0.5404,0.5394,0.7298,0.2748,0.1104,0.0778,240.0,118.0,374.0,25.0,484.0,520
670541,Yordan Alvarez,104,0.027197512324853436,0.027008527690982734,0.04246154866569639,-0.04143925056128252,-0.0005603358286952274,0.054543260148313226,0.09903971751707304,0.5408,0.5406,0.7444,0.2598,0.095,0.066,242.0,126.0,362.0,29.0,478.0,520
673962,Josh Jung,359,0.027095281373079576,0.027197884734524516,0.042013009220506825,-0.04197795068107205,0.0001715648383269012,0.05378109734287358,0.09676853808073979,0.545,0.5448,0.7514,0.2552,0.0906,0.062,239.0,128.0,362.0,32.0,477.0,520
656582,Connor Joe,55,0.02697312681456753,0.026781532259975194,0.04522769416300729,-0.04615515801535168,-0.002594144648360091,0.056846515002429925,0.10177187099159976,0.535,0.5324,0.7308,0.272,0.1074,0.0772,244.0,121.0,372.0,27.0,486.0500000000002,520
679032,Johan Rojas,107,0.02692436858297957,0.02606547054949614,0.046933140582261085,-0.0489183323315556,-0.003316701677434406,0.057088319330734966,0.10460110871034266,0.5314,0.532,0.7222,0.2788,0.1146,0.0832,243.5,118.0,377.25,22.0,490.0,520
702332,Caleb Durbin,276,0.02675492281581032,0.02665970286303233,0.044317745029154636,-0.043913953628373435,-0.0020223882684827364,0.05549251691692095,0.10108995540364114,0.5352,0.5364,0.7356,0.2646,0.1018,0.0752,243.0,123.0,371.0,28.0,481.0500000000002,520
