model,outcome,season,player_id,player_name,prior_same_type_pitches,change_ci90_low,change_median,change_ci90_high
pooled_geometry,distortion,2025,642180,Tyler Wade,6,-0.15036994095703227,-0.04766731767177389,0.052340766310442
pooled_geometry,distortion,2025,642180,Tyler Wade,7,-0.16068856108171148,-0.05093832343454127,0.055932471415562623
pooled_geometry,distortion,2025,642180,Tyler Wade,8,-0.1697902290729025,-0.05382355499556908,0.059100579844216496
pooled_geometry,distortion,2025,642201,Eli White,0,-0.0,0.0,0.0
pooled_geometry,distortion,2025,642201,Eli White,1,-0.04107481441941009,-0.008481036712707668,0.02731753261122959
pooled_geometry,distortion,2025,642201,Eli White,2,-0.06510204057884562,-0.01344212515688108,0.043297264801026185
pooled_geometry,distortion,2025,642201,Eli White,3,-0.08214962883882018,-0.016962073425415336,0.05463506522245918
pooled_geometry,distortion,2025,642201,Eli White,4,-0.09537276559271284,-0.019692357417007093,0.0634293464530157
pooled_geometry,distortion,2025,642201,Eli White,5,-0.10617685499825572,-0.021923161869588745,0.07061479741225578
pooled_geometry,distortion,2025,642201,Eli White,6,-0.11531158243293357,-0.023809280159571112,0.07669000963460451
pooled_geometry,distortion,2025,642201,Eli White,7,-0.12322444325823026,-0.025443110138123,0.08195259783368876
pooled_geometry,distortion,2025,642201,Eli White,8,-0.13020408115769125,-0.02688425031376216,0.08659452960205237
pooled_geometry,distortion,2026,642201,Eli White,0,-0.0,-0.0,0.0
pooled_geometry,distortion,2026,642201,Eli White,1,-0.058224988806695126,-0.01978981056331344,0.01761388463647144
pooled_geometry,distortion,2026,642201,Eli White,2,-0.09228442386352086,-0.031366107639227224,0.02791734664083573
pooled_geometry,distortion,2026,642201,Eli White,3,-0.11644997761339025,-0.03957962112662688,0.03522776927294288
pooled_geometry,distortion,2026,642201,Eli White,4,-0.13519423733476763,-0.04595051713945617,0.04089817359752791
pooled_geometry,distortion,2026,642201,Eli White,5,-0.15050941267021598,-0.05115591820254066,0.04553123127730717
pooled_geometry,distortion,2026,642201,Eli White,6,-0.1634582089132245,-0.05555702209150555,0.04944842573075291
pooled_geometry,distortion,2026,642201,Eli White,7,-0.17467496642008537,-0.059369431689940314,0.05284165390941431
pooled_geometry,distortion,2026,642201,Eli White,8,-0.1845688477270417,-0.06273221527845445,0.05583469328167146
pooled_geometry,distortion,2025,642215,Weston Wilson,0,-0.0,0.0,0.0
pooled_geometry,distortion,2025,642215,Weston Wilson,1,-0.052501871040758985,-0.016337050148952675,0.02086753603030813
pooled_geometry,distortion,2025,642215,Weston Wilson,2,-0.08321349681730102,-0.02589361185849097,0.03307426209048601
pooled_geometry,distortion,2025,642215,Weston Wilson,3,-0.10500374208151797,-0.03267410029790535,0.04173507206061626
pooled_geometry,distortion,2025,642215,Weston Wilson,4,-0.12190556940369149,-0.03793345572843698,0.048452918179846746
pooled_geometry,distortion,2025,642215,Weston Wilson,5,-0.13571536785806,-0.042230662007443645,0.05394179812079413
