scenario,replicate,n_players,coverage90,coverage50,rmse,unpooled_rmse,mean_bias,rank_spearman,mu_mean,mu90_low,mu90_high,tau_mean,true_mu,true_tau,mu_interval_excludes_zero,first_stage_coverage90,missing_fraction,median_observed,median_clusters
zero_learning,24,30,1.0,1.0,0.006722963008162384,0.0639494086951244,0.003627641714463223,,0.0035152056208835117,-0.014985348513813244,0.023044398028014734,0.017793894444583357,0.0,0.0,False,0.9333333333333333,0.16938280166435504,114.0,23.0
zero_learning,25,30,1.0,0.8333333333333334,0.010511347429254268,0.06352431744804733,0.008466257941296405,,0.008529146370224647,-0.011538227912008097,0.028374423382081352,0.0198501871555297,0.0,0.0,False,0.9333333333333333,0.16145924245068943,122.5,23.5
zero_learning,26,30,1.0,1.0,0.004695942487946554,0.06053632274151456,-0.0019833699203023972,,-0.002074892937656337,-0.021825007520653174,0.01684787995831522,0.016048177434889812,0.0,0.0,False,0.9666666666666667,0.16860658463584965,151.5,30.0
zero_learning,27,30,1.0,0.9666666666666667,0.008517881163347932,0.0633665541885572,-0.0007633357040480949,,-0.0009272735340868049,-0.021812834398798542,0.019980127198594086,0.022583969965025458,0.0,0.0,False,0.9,0.16319720324169718,155.5,30.5
zero_learning,28,30,1.0,0.9666666666666667,0.008163583202990333,0.06506910943489518,-0.005195444945481695,,-0.0054689228714353815,-0.024800089864658433,0.013473428332914851,0.01876315122610608,0.0,0.0,False,0.9,0.16189207195203192,159.0,32.0
zero_learning,29,30,0.9666666666666667,0.23333333333333334,0.023067172053903025,0.0779838720064434,0.021060699960443224,,0.021183902310023754,-0.00030693821710432777,0.041232728948499435,0.024137481189214424,0.0,0.0,False,0.8666666666666667,0.1642913697545526,117.0,23.0
zero_learning,30,30,1.0,0.9333333333333333,0.006913207884419707,0.060533006064975914,-0.003832245602160994,,-0.0037646811039730574,-0.02214412971986048,0.015088955268135697,0.018106898648923002,0.0,0.0,False,0.9,0.15653220951234192,145.0,30.5
zero_learning,31,30,1.0,0.9,0.008394420432557559,0.05810668264770847,-0.006819267589648016,,-0.006682685645205209,-0.02528522210629568,0.011902517557154059,0.016812119783862208,0.0,0.0,False,0.9333333333333333,0.15962509012256665,155.0,32.0
zero_learning,32,30,1.0,0.9666666666666667,0.010709128762820154,0.06709292306457659,-0.0015825907498726731,,-0.0015907344526988108,-0.02015204518937526,0.018702022340312745,0.025448077298388584,0.0,0.0,False,0.8666666666666667,0.16107281989811206,173.5,33.5
zero_learning,33,30,1.0,0.5666666666666667,0.014890120664117615,0.06505374672560942,0.012853470763403917,,0.013052645565506733,-0.005647264576545685,0.031274674659705015,0.02130921265732337,0.0,0.0,False,0.8666666666666667,0.15976993129892958,158.5,30.0
zero_learning,34,30,1.0,1.0,0.004189065303110762,0.04900341918538567,-0.0012298324169193195,,-0.0013801450331224656,-0.017767737290066664,0.01548242667506335,0.015134771192354615,0.0,0.0,False,0.9333333333333333,0.1582249426166794,169.0,31.5
zero_learning,35,30,1.0,0.9,0.010474822570783427,0.05696263109148862,0.004948354322344,,0.005069818123010277,-0.015713463670277115,0.02595148001801922,0.024610963003051368,0.0,0.0,False,0.9,0.15727565926769116,121.5,26.0
zero_learning,36,30,0.8666666666666667,0.5333333333333333,0.040966909598348714,0.0768378707364836,-0.015589620162825578,,-0.015157716360098113,-0.04272147165903543,0.010094318137302136,0.05902759035245394,0.0,0.0,False,0.8,0.16417673235855057,146.0,26.0
zero_learning,37,30,1.0,1.0,0.004685711471998091,0.0542788212092455,0.0027569117552902886,,0.0029610720956299063,-0.016486174604613355,0.0232392262544782,0.014954579108651608,0.0,0.0,False,1.0,0.16279450261780104,146.5,29.5
zero_learning,38,30,1.0,0.43333333333333335,0.024957143085172762,0.07429359096801823,0.019674656316621374,,0.019915900784151872,-0.001818406874158367,0.041065993872464415,0.03208719595706566,0.0,0.0,False,0.8,0.16826060968320378,178.0,33.5
zero_learning,39,30,1.0,0.0,0.0197088765726161,0.061918416104115914,0.019365227721517986,,0.019307778377304085,0.0022004162069817687,0.03739150779065421,0.01473584401970108,0.0,0.0,True,0.9,0.15390152605816299,196.5,37.5
zero_learning,40,30,1.0,0.9333333333333333,0.009449223473853456,0.0691572111564275,0.006194407415469578,,0.006268613400697045,-0.01199796434838485,0.023946231291099313,0.020424205769621187,0.0,0.0,False,0.8666666666666667,0.16651348039215685,166.5,35.0
zero_learning,41,30,1.0,0.9,0.012297807458237442,0.0805836179226218,0.0003524622404291778,,0.0006108146010363874,-0.020228406028584077,0.021685072403944523,0.028422544257194503,0.0,0.0,False,0.8333333333333334,0.16272799365582868,156.0,31.5
zero_learning,42,30,1.0,0.9,0.00930476460423099,0.060876723716779886,-0.004914463086513779,,-0.004905725811065158,-0.024183303703619586,0.014704076794380417,0.02197755352470671,0.0,0.0,False,0.8666666666666667,0.1566152407667134,180.0,37.5
zero_learning,43,30,1.0,0.9666666666666667,0.006292857783411955,0.05695400381900295,-0.003969295761319585,,-0.003735903571281796,-0.02159540104439646,0.014490726040503388,0.016234350976254853,0.0,0.0,False,0.9333333333333333,0.16233183856502242,196.5,38.0
