stage,specification,x,y,restriction,high_information,negative_control,method,bins,baseline_group,n,mean_followup_percentile,mean_percentile_ci90_low,mean_percentile_ci90_high,top_quartile_followup_rate
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,pooled,4,2,111,0.49996951265986805,0.45320040853035776,0.5462973125409675,0.25225225225225223
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,pooled,4,3,111,0.5555784210606545,0.5138229600158533,0.6002545692901023,0.2882882882882883
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,pooled,4,4,122,0.49319020276830045,0.44642034895009847,0.5386459460209149,0.2540983606557377
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,pooled,10,1,48,0.4656655386350818,0.39607127749576987,0.5363508178228991,0.2916666666666667
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,pooled,10,2,48,0.48061195713479976,0.4056383953750705,0.5614160321489001,0.2708333333333333
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,pooled,10,3,50,0.5061928934010153,0.4399661590524535,0.5744230118443316,0.3
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,pooled,10,4,41,0.5055713755107094,0.42467706656762,0.5875634517766498,0.2926829268292683
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,pooled,10,5,45,0.5016920473773265,0.4327317164880617,0.5712013536379018,0.24444444444444444
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,pooled,10,6,41,0.6018529982254137,0.5323139779621147,0.6709401180306219,0.2926829268292683
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,pooled,10,7,46,0.5389906569557862,0.4708250570146399,0.6062587361141765,0.2826086956521739
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,pooled,10,8,47,0.4809914677610973,0.40165424631889685,0.5563973791266156,0.2765957446808511
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,pooled,10,9,49,0.5051106737111087,0.4333834041230706,0.5777167719879831,0.22448979591836735
full_year,distortion__log_exposure_sequence,log_exposure_sequence,distortion,all,False,False,pooled,10,10,50,0.5002368866328257,0.4380084602368866,0.5649424703891708,0.28
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,unpooled,4,1,107,0.5141699437978633,0.46635514018691593,0.5578149628237992,0.2897196261682243
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,unpooled,4,2,126,0.5093426354073713,0.4748823720288796,0.547992888239907,0.21428571428571427
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,unpooled,4,3,120,0.4985235661555934,0.45655877342419077,0.5404443498012493,0.225
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,unpooled,4,4,110,0.48446647049713487,0.44166950596252125,0.5273687470961747,0.20909090909090908
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,unpooled,10,1,38,0.5393616067425805,0.461673989061239,0.6166704025822648,0.3684210526315789
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,unpooled,10,2,43,0.49290836337704524,0.4232062913513727,0.5650271383859592,0.23255813953488372
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,unpooled,10,3,53,0.511957185561377,0.44840410144321957,0.5760261643791585,0.2641509433962264
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,unpooled,10,4,47,0.5101852187466019,0.4477636014353546,0.5724636630541158,0.1702127659574468
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,unpooled,10,5,52,0.507502293277421,0.45078299043375714,0.5638432053466125,0.23076923076923078
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,unpooled,10,6,48,0.4532580919931857,0.3947260079500283,0.5162035065303804,0.125
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,unpooled,10,7,48,0.5165034071550255,0.44820414537194775,0.5808187819420783,0.2916666666666667
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,unpooled,10,8,49,0.4816083162396135,0.41736606056391895,0.5458001599276848,0.22448979591836735
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,unpooled,10,9,45,0.5498958924853304,0.4855404126443309,0.6190819610070036,0.28888888888888886
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,unpooled,10,10,40,0.45553662691652475,0.3828662691652471,0.5238586030664395,0.15
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,pooled,4,1,121,0.5195277852084419,0.4715558871978262,0.5667802385008517,0.32231404958677684
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,pooled,4,2,112,0.5038330494037478,0.4634947675833536,0.5443607021173035,0.22321428571428573
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,pooled,4,3,108,0.4881380528739983,0.44392627295097487,0.5306667613098617,0.18518518518518517
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,pooled,4,4,122,0.5031697712737733,0.4622818164046137,0.5462207110341554,0.27049180327868855
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,pooled,10,1,50,0.4717546848381602,0.4011124361158433,0.5448824531516184,0.26
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,pooled,10,2,49,0.5625108646525049,0.4839794180022946,0.6324601049960018,0.3877551020408163
full_year,distortion__log_kernel_h0.5_m5,log_kernel_h0.5_m5,distortion,all,False,False,pooled,10,3,46,0.5481445818828234,0.47898859343752326,0.6193763424931487,0.3695652173913043
