grouping,group,field,field_in_schema,n_all_pitches,populated_all_pitches,pct_all_pitches,n_swings,populated_swings,pct_swings,n_whiffs,populated_whiffs,pct_whiffs,n_contact,populated_contact,pct_contact
pitch_type,ST,intercept_ball_minus_batter_pos_x_inches,True,184542,80005,43.35327459331751,83753,80005,95.52493642018793,25119,23999,95.5412237748318,58634,56006,95.51795886345806
pitch_type,ST,intercept_ball_minus_batter_pos_y_inches,True,184542,80005,43.35327459331751,83753,80005,95.52493642018793,25119,23999,95.5412237748318,58634,56006,95.51795886345806
pitch_type,ST,miss_distance,True,184542,24092,13.055022704858514,83753,24092,28.765536756892292,25119,24089,95.89951829292568,58634,3,0.005116485315687144
pitch_type,SV,bat_speed,True,11591,4690,40.46242774566474,4863,4690,96.4425251902118,1352,1309,96.81952662721893,3511,3381,96.29735118199943
pitch_type,SV,swing_length,True,11591,4690,40.46242774566474,4863,4690,96.4425251902118,1352,1309,96.81952662721893,3511,3381,96.29735118199943
pitch_type,SV,attack_angle,True,11591,4690,40.46242774566474,4863,4690,96.4425251902118,1352,1309,96.81952662721893,3511,3381,96.29735118199943
pitch_type,SV,attack_direction,True,11591,4690,40.46242774566474,4863,4690,96.4425251902118,1352,1309,96.81952662721893,3511,3381,96.29735118199943
pitch_type,SV,swing_path_tilt,True,11591,4690,40.46242774566474,4863,4690,96.4425251902118,1352,1309,96.81952662721893,3511,3381,96.29735118199943
pitch_type,SV,intercept_ball_minus_batter_pos_x_inches,True,11591,4681,40.38478129583297,4863,4681,96.25745424635,1352,1300,96.15384615384616,3511,3381,96.29735118199943
pitch_type,SV,intercept_ball_minus_batter_pos_y_inches,True,11591,4681,40.38478129583297,4863,4681,96.25745424635,1352,1300,96.15384615384616,3511,3381,96.29735118199943
pitch_type,SV,miss_distance,True,11591,1308,11.284617375549995,4863,1308,26.89697717458359,1352,1308,96.74556213017752,3511,0,0.0
pitch_type,UN,bat_speed,True,27,1,3.7037037037037037,1,1,100.0,0,0,,1,1,100.0
pitch_type,UN,swing_length,True,27,1,3.7037037037037037,1,1,100.0,0,0,,1,1,100.0
pitch_type,UN,attack_angle,True,27,1,3.7037037037037037,1,1,100.0,0,0,,1,1,100.0
pitch_type,UN,attack_direction,True,27,1,3.7037037037037037,1,1,100.0,0,0,,1,1,100.0
pitch_type,UN,swing_path_tilt,True,27,1,3.7037037037037037,1,1,100.0,0,0,,1,1,100.0
